;Multinomial Naive Bayes;;Regressão Linear;;SVC Linear;;
Pre-processamento;Sem;Com;Sem;Com;Sem;Com;
1;67.4339714543;68.4746173863;77.0756828175;77.6050905214;78.3181345749;81.8161901055
2;69.9014006317;67.8476026839;77.4659430198;78.6407026937;78.5587962315;79.8713610711
3;68.2789239835;67.7556766428;79.6132250771;81.568289423;81.6263933926;78.4153101084
4;68.618319242;68.2673463361;77.7197403922;77.0575612824;77.2715919529;79.2264405662
5;67.4337557217;66.6049351939;77.857977023;79.5372153049;78.3585484746;80.6420776292
6;68.4632554715;66.4208194386;76.0289244629;76.2636894295;77.4384491034;75.7864890053
7;67.6923231808;69.073011569;78.4620521632;76.8854546396;77.3633022615;77.1842202658
8;66.162467712;68.6821041691;81.4363809473;78.4386811358;81.4595362421;78.4268877558
9;66.2423846406;68.9930946404;78.761033522;76.45413334;79.8541024663;78.9510459673
10;66.8750803005;68.7508749154;76.9837567764;79.3315023232;77.8983909227;78.3705575872
media;67.7101882339;68.0870082976;78.1404716201;78.1782320093;78.8147245623;78.8690580062
