;Multinomial Naive Bayes;;Regressão Linear;;SVC Linear;;
Pre-processamento;Sem;Com;Sem;Com;Sem;Com;
1;80.4867981261;80.0729511639;83.2824763797;81.9017879915;84.0765639652;79.5837416272
2;82.6668235921;80.6768105715;82.3385745159;80.9930505351;81.8727360066;78.0014631462
3;81.4245875673;82.2472956725;83.4259625028;83.9560174043;79.8538867337;83.4899631625
4;80.6706981489;80.9991629577;82.8686294175;80.8148314697;80.8493486794;79.7505987777
5;80.958749058;80.406665465;84.09382257;80.5909969529;83.3403646168;79.0089342044
6;78.9567269248;81.562392733;82.8513708126;82.5058631316;81.7349308409;80.4636428313
7;82.4942854842;82.0629641846;84.8413838333;82.1950883928;84.5426182071;79.5374310375
8;79.4398240389;79.6130093446;80.9757919303;81.3271963013;81.562392733;81.3038252739
9;79.716081568;81.7410432635;80.6416461641;81.2516179942;80.5038409984;78.6110035112
10;80.1469714025;79.9119907034;84.1909981035;83.3172093219;82.8162064052;81.7465084884
media;80.6961545911;80.9294286059;82.951065623;81.8853659495;82.1152889186;80.149711206
