;Multinomial Naive Bayes;;Regressão Linear;;SVC Linear;;
Pre-processamento;Sem;Com;Sem;Com;Sem;Com;
1;80.8945326657;66.34090251;80.4341593813;79.2675016635;79.0362123882;79.894516366
2;80.7001815989;68.9522492756;83.6220873707;81.4479585947;82.0749732971;82.8572675026
3;81.7406117984;68.3597517829;82.684082197;77.8461836431;82.8511550801;76.8227963159
4;80.5503673206;68.0378308618;82.0806542545;78.467517388;79.5780606697;78.491104148
5;81.2686608665;68.8028664625;82.3794198808;78.7390048305;79.9058782808;79.7621764251
6;81.3896388925;68.9175163334;82.2125627302;76.9022817793;80.1762391199;77.6616364226
7;81.6146000127;64.586085921;83.5700958236;78.3476180249;81.383957935;78.4795265006
8;79.8087027474;67.0884637732;82.3909975282;78.0189374836;82.2182436877;79.4341430815
9;81.0109563376;67.6748488434;84.8529614807;77.2307465881;84.2549987631;78.3353931798
10;80.5333244483;67.7386337705;81.5798670704;77.8350374608;80.7973571323;77.3803451337
media;80.9511576689;67.6499149534;82.5806887717;78.4102787456;81.2277076354;78.9118905076
