;Multinomial Naive Bayes;;Regressão Linear;;SVC Linear;;
Pre-processamento;Sem;Com;Sem;Com;Sem;Com;
1;81.3040410064;84.709259625;84.191213836;82.3909975282;82.6670393247;81.7755604732
2;79.2441306361;79.6632270906;78.7778606617;82.8105254478;78.6166844686;80.1876010347
3;82.6028229325;82.5346993839;83.9950889681;83.2532086623;84.0066666155;80.1179194177
4;78.4963536403;81.1367523908;82.9950726683;81.1367523908;79.7505987777;79.7333401729
5;82.9599082609;83.0123312732;84.2314120032;83.3403646168;82.0802227894;80.0382182216
6;79.2847602684;83.1156192292;83.3169935894;83.8922324772;82.0398088897;81.4068974973
7;81.9142285691;81.9485300463;84.3932353939;83.8007379012;83.8066345912;81.304256739
8;81.9426333563;81.3955355824;81.3038252739;83.115187764;80.5387896732;81.6884045187
9;80.2673022308;80.6886039515;83.2820449146;81.4475271296;81.8845293866;78.024618441
10;78.9219939825;79.082954443;82.8395774326;79.5605863323;80.406665465;79.8541024663
media;80.6938174883;81.7287513016;82.9326324742;82.474812025;81.5797639982;80.4130918982
