ID;CLASSE;'Classificação 
Eliaquim';OPINIÃO
598;Neutro;neutro;- #Oi pessoal !* õ/ .
585;Neutro;neutro;- #Oi, pra vc que leu !* :]]*
102;Neutro;negativo;#BancoDoBrasil toma propriedade de agricultor por dívida de R$ 1.300 Reais
25;Neutro;negativo;#FHC do @Rede45 privatizaria a @petrobras o @BancodoBrasil e a @CAIXA
26;Neutro;negativo;#FHC do @Rede45 privatizaria a @petrobras o @BancodoBrasil e a @CAIXA
227;Neutro;negativo;#FHC do @Rede45 privatizaria a @petrobras o @BancodoBrasil e a @CAIXA
228;Neutro;negativo;#FHC do @Rede45 privatizaria a @petrobras o @BancodoBrasil e a @CAIXA
1087;Negativo;negativo;@AbsurdosBelem: Aiii, agente vai no Unico #bradesco do @boulevardbelem e do #LiderDoca e da com a cara na porta @bradesco BancoEscroto
2303;Neutro;neutro;@Bradesco: Em 2014 queremos que todo mundo tenha o que quiser! O que vc mais quer para 2014? O fim do capitalismo.
1002;Negativo;negativo;@luciogirotto: TERCEIRA RECLAMAÇAO #bradesco #alobradesco #bancocentralbr #BandNews #datenaoficial #ReclameAQUI
1208;Negativo;negativo;@RadioRockPuro: @Nilson_de_Vix @claro um pior que outro, não tem serviço que preste // nenhum deles, @Claro, presta. E, são caríssimos. ..
907;Neutro;neutro;A loucura de uma pessoa é a realidade de outra. - #Tim Burton. http://t.co/gPX8sx2YRN
633;Neutro;neutro;Acompanhe o jogo entre Atlético PR x Corinthians @skybrasil ache o erro.
870;Neutro;positivo;As melhores e verdadeiras canções compomos quando temos certeza do caminho a seguir. Falo do que #vivo, #vivo do... 
2751;Neutro;positivo;Boa sorte pra querida Cris Duclos da #vivo que ta concorrendo ao Caboré 2013. Bacana participar do… 
442;Neutro;positivo;Conte uma História para uma criança" "Conte uma história pra Mim Itaú #Itau Itaú Cultural Itaú Personnalité... 
219;Neutro;neutro;Dinheiro investido em gente, em saúde, em alimentação não é gasto, é investimento, enfatiza Lula. #BolsaFamília10anos #CAIXA
2865;Positivo;neutro;Eu faço parte de algo que é capaz de fazer sorrir, encantar, alegrar e emocionar. _x000D_ Eu faço parte do #Itaucard... 
216;Neutro;neutro;Mais de 9 milhões de famílias foram incluídas no #BolsaFamília e no Cadastro Único, destaca Tereza Campello. #CAIXA #BolsaFamília10anos
834;Neutro;neutro;O Bonde das Maravilhas é a nova sensação._x000D_ Enquanto o cel chama escute esta canção:_x000D_
1176;Negativo;negativo;"Péssimo" é a palavra que melhor define o serviço 3G da @ClaroBrasil. O SAC não funciona e a rede vive "indisponível".
2305;Neutro;positivo;Quero q todo mundo tenha dois chocolates: um pra comer e outro pra quem ta pedindo. ^-^ ^-^ #Bradesco #QueroQueTodoMundoTenha
867;Neutro;positivo;SE FOR FRACO NAO FICA DE PEH,VIVO NO LIMITE,SOH Q NAO SOU LIMITADO. #Vivo
944;Negativo;neutro;Talvez chegue um dia em que a coragem dos homens falhará. E conseguiremos acessar o @Bancodobrasil. MAS HOJE NÃO É ESTE DIA! (Tolkien)
